date,Alaska,flu symptoms,the flu,how long flu,flu how long,symptoms of flu,influenza a,bronchitis,the flu symptoms,contagious flu,a influenza,rsv,flu cold,flu contagious,stomach flu,flu a,pneumonia,flu fever,fever flu,how long does flu last,sinus
2010-10-09,0.875146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4775.879027847141,0.0,0.0,0.0,0.0
2010-10-16,1.12827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-23,0.586042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2708.8528679870064,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-30,0.967742,0.0,0.0,0.0,0.0,0.0,0.0,6598.090611020478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-06,0.683851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-13,0.951904,0.0,0.0,0.0,3443.654819806744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-20,0.962567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-27,0.652316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-04,0.45977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-11,0.797721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2503.9026387682966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-18,1.05581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-25,0.852273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,1.13086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3225.569957285477,0.0,0.0,0.0,0.0
2011-01-08,0.592593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2140.833735488492,0.0,0.0,0.0,0.0
2011-01-15,1.48227,0.0,0.0,0.0,0.0,0.0,1805.087143190304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-22,1.66821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2578.5200668895363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-29,1.40127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2909.018852238324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-05,3.67868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2102.244322411983,0.0,0.0,0.0,1753.8128918111324
2011-02-12,1.95891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1828.6064970837044,0.0,0.0,0.0,1828.6064970837044,0.0,0.0,1842.9594935105524,0.0,0.0,0.0,0.0
2011-02-19,4.4316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2245.042749165336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4368.345777164103
2011-02-26,2.93454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-05,4.8801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-12,3.53371,0.0,0.0,0.0,0.0,0.0,2363.967021780879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1786.6496240581653,0.0,0.0,0.0,0.0
2011-03-19,2.68747,0.0,0.0,2542.6476259397127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
