date,Idaho,flu symptoms,the flu,influenza a,a influenza,how long flu,flu how long,symptoms of flu,bronchitis,the flu symptoms,contagious flu,rsv,flu cold,flu contagious,stomach flu,flu a,pneumonia,flu fever,fever flu,how long does flu last,sinus
2010-10-09,0.414938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-16,1.45798,0.0,4887.445072250885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-23,1.40814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-30,1.28007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-06,1.82724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-13,1.49434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-20,1.95882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-27,3.06882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.322887351444
2010-12-04,1.80142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-11,1.72267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-18,1.36502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2479.070449684814,0.0,0.0,0.0,0.0
2010-12-25,3.20553,2903.4677702014237,0.0,0.0,0.0,0.0,0.0,0.0,3683.485736639791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,2.59815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2839.737483009774
2011-01-08,2.03906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203.623979902941
2011-01-15,2.25623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1205.2188247671236
2011-01-22,3.5809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-29,3.4288,0.0,1483.2385276347266,0.0,0.0,1471.4880077705225,1471.4880077705222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1147.537839206498,0.0,0.0,0.0,0.0,0.0
2011-02-05,3.94244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1675.0519160580625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665.9594903034306
2011-02-12,4.56026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1570.5549806479337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.3981840485071,0.0,0.0,0.0,3484.196245457877
2011-02-19,6.01038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1284.5637722641109
2011-02-26,6.26091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1626.5506511758542,0.0,0.0,0.0,1372.8394091104171
2011-03-05,5.59846,0.0,0.0,1369.107340069976,1369.107340069976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.3372514884095,0.0,0.0,0.0,0.0,0.0,2089.196236846341
2011-03-12,6.48731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197.5656735984176,0.0,0.0,0.0,1431.9416640829986
2011-03-19,4.38749,0.0,1242.9072890271525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1828.6222088511545
2011-03-26,4.3877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1158.6249516630355,0.0,0.0,0.0,2010.365285734872
2011-04-02,2.83491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.199529076059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611.6285112440337
2011-04-09,2.86096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1421.5825823122389
2011-04-16,2.93392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365.9736997616017
2011-04-23,1.48645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131.950275632251,0.0,0.0,1131.950275632251,0.0,0.0,1537.1013272053426,0.0,0.0,0.0,0.0
2011-04-30,1.86047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342.1453179868809
2011-05-07,1.58513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1735.1932389645804,0.0,0.0,0.0,0.0
2011-05-14,1.45138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-21,1.8346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-28,1.55424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1317.1891183777211,0.0,0.0,1317.1891183777211,0.0,0.0,1997.1385669973135,0.0,0.0,0.0,1781.4017353914933
2011-06-04,2.35294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-11,1.70604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-18,1.49102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1420.4337476745754,0.0,0.0,0.0,0.0,1482.5429095689644
2011-06-25,1.60446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1817.731789510835,0.0,0.0,0.0,1261.5669808422551
2011-07-02,1.25705,0.0,0.0,0.0,0.0,0.0,0.0,2048.664155944971,0.0,0.0,0.0,0.0,1303.4566130720723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-09,0.899594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-16,0.645161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291.9184128910197
2011-07-23,0.925658,0.0,1303.501857715146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251.656874032345,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-30,0.657462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-06,0.387366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1441.2373530909283,0.0,0.0,0.0
2011-08-13,0.697604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-20,0.71964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-27,0.418911,1779.4757941846071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-03,1.23423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-10,1.29168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.6527484997328,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-17,0.657895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1262.01775522403
2011-09-24,0.857679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1162.5216108992884,0.0,0.0,0.0,0.0
