date,Maine,flu symptoms,the flu,how long flu,flu how long,symptoms of flu,influenza a,bronchitis,the flu symptoms,contagious flu,a influenza,rsv,flu cold,flu contagious,stomach flu,flu a,pneumonia,flu fever,fever flu,how long does flu last,sinus
2010-10-09,0.357724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2044.519600917299,0.0,0.0,0.0,0.0,0.0
2010-10-16,0.434855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2741.617244773064,0.0,0.0,0.0,0.0
2010-10-23,0.421743,0.0,1974.759541356964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-30,0.338409,0.0,0.0,0.0,0.0,0.0,0.0,1916.299612338642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869.0799313092907,0.0,0.0,0.0,0.0
2010-11-06,0.176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3021.935357837614
2010-11-13,0.356622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2033.9257027063927,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-20,0.520341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1872.95092594958
2010-11-27,0.617566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-04,0.347958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1774.9382614181786,0.0,0.0,0.0,0.0
2010-12-11,0.435219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1775.369364132515,0.0,0.0,0.0,0.0
2010-12-18,0.341472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2079.7409087253623
2010-12-25,0.59952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,0.644828,0.0,0.0,2617.400981411767,2617.400981411767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-08,0.509198,0.0,1223.1076264797769,0.0,0.0,0.0,0.0,0.0,1137.49926320917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1763.410916015439
2011-01-15,0.471204,0.0,0.0,0.0,0.0,0.0,0.0,1373.418065252194,0.0,0.0,0.0,1450.1480538522471,1097.479121380641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1602.5829462002296
2011-01-22,0.75275,0.0,0.0,0.0,0.0,0.0,1145.7270415205303,0.0,0.0,0.0,1145.7270415205303,0.0,0.0,0.0,0.0,0.0,1896.0947135451684,0.0,0.0,0.0,0.0
2011-01-29,1.03409,1174.5486205020218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-05,1.47004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1868.082821613128
2011-02-12,1.57754,0.0,1227.2288521274245,1077.3303111866303,1077.3303111866303,0.0,0.0,0.0,0.0,0.0,0.0,1184.7925531225455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1572.7879356007245
2011-02-19,2.27929,1212.3504010145894,0.0,0.0,0.0,0.0,0.0,1831.343917014576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1468.7830296185314,0.0,0.0,0.0,2936.200428052904
2011-02-26,1.92711,0.0,1542.1698519629897,0.0,0.0,0.0,1224.7594934033848,0.0,0.0,0.0,1224.7594934033848,0.0,0.0,0.0,0.0,0.0,1500.8815036743852,0.0,0.0,0.0,1728.4990736467278
2011-03-05,1.90314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2117.39407121514
2011-03-12,1.20046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1405.3965392991397
2011-03-19,1.0707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2097.8083374694647,0.0,0.0,0.0,1693.161846047503
2011-03-26,0.860451,0.0,0.0,0.0,0.0,1513.5633256786589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1381.7633620806532,0.0,0.0,0.0,1266.0721449902555
2011-04-02,0.793257,0.0,0.0,0.0,0.0,0.0,0.0,1337.7662770101715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-09,0.723634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2308.161330966788
2011-04-16,0.644531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.5666065458686,0.0,0.0,0.0,1304.385239002024
2011-04-23,0.563317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968.0925448746184,0.0,0.0,0.0,0.0,0.0,0.0,1220.838898052733
2011-04-30,0.46474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-07,0.49682,0.0,0.0,0.0,0.0,0.0,0.0,1267.5944461919685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1394.895549525341
2011-05-14,0.508233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463.3791611356112,0.0,0.0,0.0,1408.3491872854904
2011-05-21,0.370028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1109.8883564939904,0.0,0.0,0.0,1895.5014550547155
2011-05-28,0.519802,0.0,0.0,0.0,0.0,0.0,0.0,985.0387946459992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1096.886739090926,0.0,0.0,0.0,0.0
2011-06-04,0.643537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1431.334004131652,0.0,0.0,0.0,0.0
2011-06-11,0.442369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-18,0.403035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2054.9018826627994
2011-06-25,0.365764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-02,0.466029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-09,0.873485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-16,0.59657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1354.54032220995
2011-07-23,0.604011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1626.6041950791805
2011-07-30,0.450024,0.0,0.0,0.0,0.0,0.0,0.0,1131.9928020352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-06,0.36036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-13,0.417478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.886703174705
2011-08-20,0.481155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
