date,Mississippi,the flu,flu symptoms,rsv,flu how long,how long flu,flu a,flu cold,flu contagious,contagious flu,the flu symptoms,symptoms of flu,pneumonia,flu type,type a flu,oscillococcinum,fever flu,flu fever,cold,flu type a,influenza a
2010-10-09,2.9098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2469.674682102749,0.0,0.0,0.0,0.0,0.0,4240.290610268131,0.0,0.0
2010-10-16,2.97075,0.0,0.0,1698.4744579420117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5246.819216102772,0.0,0.0
2010-10-23,2.98141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4077.156206677125,0.0,0.0
2010-10-30,3.14804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633.1309240798803,0.0,0.0,0.0,0.0,0.0,0.0,5987.001154196133,0.0,0.0
2010-11-06,3.3557,1544.411453538689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5157.327914389665,0.0,0.0
2010-11-13,3.93095,1568.5617975835426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7463.692851746876,0.0,0.0
2010-11-20,4.46575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7273.213874135918,0.0,0.0
2010-11-27,4.83811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6624.920310817857,0.0,0.0
2010-12-04,4.88509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7734.484188547206,0.0,0.0
2010-12-11,5.33836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9514.558253628882,0.0,1980.8233730798245
2010-12-18,8.81573,2114.38106617624,2768.912833719376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1915.3721174156312,0.0,0.0,8587.83636083186,0.0,0.0
2010-12-25,10.8166,0.0,2642.364421597525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8552.749759387292,0.0,0.0
2011-01-01,9.03389,2249.3650753290613,2877.183356789032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3750.199161152888,0.0,0.0,0.0,0.0,0.0,7493.058937540512,0.0,0.0
2011-01-08,6.75844,1641.866380602687,1001.8813184002648,0.0,0.0,0.0,1052.5105678137215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7805.526135785902,0.0,0.0
