date,Nebraska,a influenza,influenza a,influenza symptoms,influenza a symptoms,the flu,flu symptoms,influenza b,flu cold,flu a,rsv,pneumonia,sinus,how long flu,flu how long,symptoms of flu,bronchitis,the flu symptoms,contagious flu,flu contagious,stomach flu
2010-10-09,2.19978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2351.878224735862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-16,2.73532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1698.9857226895672,2029.631326226444,1704.2884896447752,0.0,0.0,0.0,1863.8027590201204,0.0,0.0,0.0,0.0
2010-10-23,3.31103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2304.9165949292483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-30,2.05761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1867.5685487800204,0.0,0.0,0.0,1675.312097650719,0.0,0.0,0.0,0.0
2010-11-06,0.376712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2091.697149271032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-13,2.96108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-20,2.42303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1787.5860375864215,0.0,0.0,0.0,0.0,2089.464813919455,0.0,0.0,0.0,0.0
2010-11-27,0.614754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765.7186555170704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-04,2.8157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-11,2.46212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1589.9753492334964,0.0,1366.8034269925402,2275.4310734935893,0.0,0.0,0.0,1647.4999642238813,0.0,0.0,0.0,0.0
2010-12-18,3.2371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-25,2.22063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888.6443488756315,0.0,2633.4983562009365,0.0,0.0,0.0,1803.3132663338151,0.0,0.0,0.0,0.0
2011-01-01,3.82883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1851.1203337291245,0.0,0.0,0.0,0.0,0.0
2011-01-08,3.00619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1404.821430422494,1421.1198542377151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-15,2.95939,0.0,0.0,0.0,0.0,822.1058554898742,0.0,0.0,0.0,0.0,0.0,742.7474513766139,1127.4476059820704,0.0,0.0,0.0,887.0508821846056,0.0,0.0,0.0,979.965526958642
2011-01-22,3.12049,0.0,0.0,0.0,0.0,798.2483075908173,0.0,0.0,0.0,0.0,0.0,979.4218018225954,1430.407603548013,0.0,0.0,0.0,1444.0378863004405,0.0,0.0,0.0,0.0
