date,Nevada,the flu,bronchitis,flu symptoms,flu cold,flu a,cold,pneumonia,rsv,sinus,how long flu,flu how long,symptoms of flu,influenza a,the flu symptoms,contagious flu,a influenza,flu contagious,stomach flu,flu fever,fever flu
2010-10-09,1.66683,0.0,0.0,0.0,0.0,0.0,6271.106917478475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-16,1.63633,1072.2579374249665,0.0,0.0,1202.7549515058618,1145.1435594294237,5780.629816788455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-23,1.5086,0.0,0.0,0.0,0.0,0.0,5483.6533363088665,0.0,0.0,1326.4358383045078,0.0,0.0,1072.7606512520915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-30,2.14451,0.0,0.0,0.0,0.0,0.0,6293.189148068455,0.0,0.0,0.0,0.0,0.0,1087.4075009158173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-06,1.76761,1324.4095943891757,0.0,0.0,0.0,0.0,4684.675235324318,0.0,0.0,1007.0225832177246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-13,0.805239,0.0,0.0,0.0,0.0,0.0,6698.201499479044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-20,2.63276,1010.4363393840242,0.0,0.0,0.0,0.0,7999.5049813034,1020.2420068459846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-27,3.10198,0.0,0.0,0.0,0.0,0.0,8723.452025856785,1052.1675175202506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-04,2.89043,1055.8282898636603,0.0,0.0,0.0,0.0,7503.158196547504,0.0,0.0,1233.0145144628618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-11,3.28279,0.0,0.0,0.0,0.0,0.0,6671.186994702705,1297.8999524130188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-18,4.28725,0.0,0.0,0.0,0.0,0.0,4962.443397494638,0.0,962.7783315793206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-25,3.46784,0.0,0.0,0.0,0.0,0.0,4941.079471880567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,3.88664,0.0,0.0,0.0,0.0,0.0,8496.529292462985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-08,3.08241,0.0,0.0,0.0,0.0,0.0,7884.454156649849,789.0180117911091,0.0,1723.8281749898958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
