date,Oklahoma,the flu,flu symptoms,rsv,pneumonia,how long flu,the flu symptoms,flu a,symptoms of flu,flu how long,strep,stomach flu,contagious flu,sinus,flu contagious,strep throat,bronchitis,fever flu,how long contagious,type a flu,flu type a
2010-10-09,0.624179,1108.1851513882084,0.0,0.0,1011.5256063353172,0.0,0.0,0.0,0.0,0.0,1514.0271258810706,0.0,0.0,1160.4978765164612,0.0,1010.7647215448668,0.0,0.0,1132.643645688447,0.0,0.0
2010-10-16,0.958678,0.0,0.0,0.0,1460.0895740461865,0.0,0.0,0.0,0.0,0.0,1595.2770796620127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-23,2.07039,0.0,0.0,0.0,1359.5717354975063,0.0,0.0,0.0,0.0,1206.862176739715,0.0,0.0,0.0,1522.048111063482,1187.1651182664295,1000.993383782043,0.0,0.0,0.0,0.0,0.0
2010-10-30,1.67073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1631.549026060704,0.0,0.0,0.0,0.0,0.0
2010-11-06,1.62845,0.0,0.0,0.0,1194.4661099658313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1418.9640385893388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-13,2.57453,0.0,1311.8253540061276,0.0,910.0376004265509,0.0,1058.9896515362618,0.0,0.0,0.0,0.0,0.0,0.0,1562.4619616993264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-20,3.35068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.2348964972672,0.0,0.0,2458.896731859789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-27,2.6523,0.0,0.0,0.0,1480.579589438942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541.6364434435775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-04,2.14477,0.0,0.0,0.0,1497.7097586326624,0.0,0.0,0.0,0.0,0.0,1121.2544231106597,0.0,0.0,1602.482691072716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-11,2.33623,0.0,0.0,0.0,1545.5158361897677,0.0,0.0,0.0,0.0,0.0,1720.9325595685682,0.0,0.0,1297.0404233017907,0.0,2073.6633769541463,0.0,0.0,0.0,0.0,0.0
2010-12-18,3.40386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1187.2990701746012,0.0,0.0,1080.1968495165606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-25,4.09441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2704.447210585521,0.0,0.0,1739.6932252444446,0.0,2025.1981539790008,0.0,0.0,0.0,0.0,0.0
2011-01-01,4.9101,0.0,0.0,1092.0333193885672,0.0,0.0,0.0,0.0,0.0,0.0,1441.0241164290533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
