date,Oregon,flu symptoms,the flu,sinus,pneumonia,rsv,how long flu,flu how long,flu cold,bronchitis,flu a,contagious flu,influenza a,a influenza,symptoms of flu,flu fever,the flu symptoms,flu contagious,stomach flu,fever flu,how long does flu last
2010-10-09,0.551334,0.0,573.7282100308533,1182.2935703896994,1308.658867401083,0.0,0.0,0.0,0.0,829.8011313906238,549.2953662798135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-16,0.624076,0.0,0.0,922.9907514561428,675.2504230877704,0.0,0.0,0.0,0.0,740.5763930189563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-23,0.484848,0.0,722.9226589181098,862.3407649036096,1039.968137513233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-30,0.751771,622.194441962456,656.5656438242828,1315.7157061010162,623.9653445253091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-06,0.764895,0.0,0.0,952.9854519251198,866.4165080956703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-13,0.775305,0.0,0.0,1231.2124786726538,895.96852767787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-20,0.657895,798.3682556944027,0.0,819.7368339616831,1439.9224433897268,0.0,0.0,0.0,0.0,622.1657842291953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-27,1.06383,0.0,0.0,1013.828748503792,943.5017336700467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-04,0.718276,0.0,0.0,779.1387688247981,1106.0117174866496,0.0,0.0,0.0,0.0,941.8935283619588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.1450463611249,0.0
2010-12-11,0.980101,0.0,1136.433412277761,1366.5949751691817,1383.8791241594256,0.0,0.0,0.0,0.0,656.669730368674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-18,1.39498,0.0,0.0,952.885164841109,917.0293367953876,0.0,0.0,0.0,0.0,719.0451288953348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0281951276659,0.0,0.0
2010-12-25,2.06037,0.0,0.0,1042.31669522097,896.6990123594688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,2.29709,0.0,0.0,1224.2555013008698,0.0,992.618038020034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-08,1.22262,308.44972780747986,382.4225592533047,1147.8815984203711,1415.1495440485896,401.0462359091829,0.0,0.0,453.4321711930808,923.4022044291792,0.0,0.0,0.0,0.0,366.06790818416926,0.0,0.0,0.0,417.13405773963,386.0955742221741,352.36862845916187
2011-01-15,1.64506,0.0,400.4115999981797,1102.5979568543155,889.7147679047894,0.0,0.0,0.0,378.6798636120536,351.9883272332985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.35156623025347,0.0,283.259534337634
2011-01-22,1.90359,0.0,0.0,969.5115515480014,1294.2752137918098,0.0,0.0,0.0,0.0,545.1940457871252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-29,2.11458,0.0,343.31547904974565,1314.5743620004662,1331.3448143825349,0.0,0.0,0.0,362.6536863058828,486.25110656654255,326.0569806551585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-05,1.6229,0.0,0.0,1218.2377040588588,1113.6919032756844,513.0711118256296,0.0,0.0,321.4122414592343,807.790745460304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.51664862272463,0.0,0.0
2011-02-12,2.25032,420.07437501692505,467.8300355915869,1335.3137805842937,1630.1156520627128,723.1345845833604,0.0,0.0,0.0,866.8685546633649,456.7736058902007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.17041560823577,0.0,0.0
2011-02-19,2.5634,0.0,397.9628194312805,1256.8147429843966,1386.2342149451351,460.8029682011629,0.0,0.0,0.0,645.5329540267699,317.7997939637724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.4181055894091,0.0,0.0
2011-02-26,1.81037,512.1337234586072,292.68685307968053,1424.0484052687266,1318.6376865341165,587.972650621442,0.0,0.0,0.0,585.3153655194474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0512029424278,0.0,0.0
2011-03-05,1.91172,414.3398509828939,341.3872897921023,1705.9005294928577,1517.8343564213085,745.0603864126016,0.0,0.0,0.0,779.9988661324397,296.65698620728654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-12,2.09194,502.7791452953935,413.3075638047699,1332.857831143687,1389.4904081899206,548.2050806011677,0.0,0.0,0.0,925.9418697624764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-19,1.625,0.0,0.0,1366.4664414816586,1584.1706607057886,709.8950951799106,0.0,0.0,0.0,729.0014791303082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-26,1.64474,443.5214713281141,478.2582171881069,1470.9744482025565,761.6872764026149,0.0,0.0,0.0,0.0,460.6064281698977,0.0,0.0,0.0,0.0,328.7669856461759,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-02,1.28979,287.3508358339086,350.489146334845,971.0125195289692,1075.443785195098,361.1791676255192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0086326688661,378.0430515029866,0.0,309.66052148138857,0.0,0.0
2011-04-09,1.00822,0.0,0.0,923.819950026516,720.4496934180354,0.0,0.0,0.0,0.0,844.8280624639965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-16,0.965873,0.0,301.2574957052769,1321.773910263934,984.7181082096896,0.0,0.0,0.0,0.0,386.4894912688389,317.5251918088317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-23,1.07246,313.8282238662832,0.0,1003.8014338291232,852.6610755990688,0.0,0.0,0.0,0.0,574.5704229377852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.1684786848391,0.0,0.0
2011-04-30,0.959752,0.0,0.0,1172.3090687611775,997.2000738095736,0.0,0.0,0.0,0.0,340.6795703490848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-07,0.924745,0.0,0.0,966.0523060743304,1225.4106043365723,0.0,0.0,0.0,0.0,652.0839132140329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-14,0.929924,394.694519546034,497.535313415521,1032.7187375407757,1113.8254556284498,403.5682270935171,0.0,0.0,0.0,661.3562648708482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-21,1.07901,0.0,0.0,837.9367516562783,1408.9194032171597,345.3555988080519,0.0,0.0,0.0,331.66717750643176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-28,0.645819,0.0,326.74049094808174,875.2222609215952,924.0693352633284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-04,0.814053,0.0,0.0,955.2086227043312,1046.3026872912626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-11,0.575595,0.0,0.0,1056.3221222484715,960.1755594354064,0.0,0.0,0.0,0.0,406.56693878863217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-18,1.07849,0.0,0.0,1069.368167708379,895.6248664474892,0.0,0.0,0.0,0.0,687.2146716140475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-25,1.29577,0.0,0.0,915.4726060958134,452.95825061654295,0.0,0.0,0.0,0.0,311.27969327608105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-02,0.780814,0.0,0.0,1093.516159730927,582.8596108717798,0.0,0.0,0.0,0.0,316.97218613294825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.5676494930213,0.0
2011-07-09,0.648088,0.0,383.4294052988754,773.9448519759736,369.8131379774361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-16,0.557414,0.0,0.0,761.8761440452332,690.0924864360351,0.0,0.0,0.0,0.0,371.9601457265821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-23,0.312663,0.0,0.0,1116.8089338999268,641.5252843308541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-30,0.542005,0.0,0.0,702.8121426820663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-06,0.448934,519.2781197662574,0.0,904.11335467729,415.69441599764673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
