date,Tennessee,flu symptoms,the flu,flu how long,symptoms of flu,rsv,how long flu,bronchitis,pneumonia,flu a,the flu symptoms,flu contagious,contagious flu,flu cold,how long contagious,flu type,symptoms of the flu,type a flu,how long does flu last,b flu,strep
2010-10-09,0.274655,0.0,0.0,0.0,0.0,0.0,584.0653056711981,0.0,1276.1909534206509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.4211555780951
2010-10-16,0.499492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.4710729937192,990.7484968988904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1673.616778617843
2010-10-23,0.49955,0.0,0.0,0.0,0.0,0.0,0.0,638.365066981807,1183.5936146879565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1214.0464926489335
2010-10-30,0.401638,0.0,676.2261794780272,0.0,0.0,0.0,0.0,0.0,1449.893598786888,0.0,0.0,0.0,0.0,0.0,0.0,1047.3511789362638,0.0,0.0,0.0,0.0,1157.2571817745468
2010-11-06,0.528096,0.0,602.9167319243015,0.0,0.0,0.0,0.0,600.801002979575,1510.5870114651264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.7349535790868
2010-11-13,0.593704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929.6428877253268,0.0,0.0,0.0,0.0,770.3720448074389,0.0,0.0,0.0,0.0,766.0112765219869,0.0,1442.4312372359095
2010-11-20,0.676526,834.9259010080983,831.6826714391719,0.0,0.0,497.462790635569,0.0,745.9401714662582,1020.6155891653516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193.4187485497407
2010-11-27,0.821849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.0284015488731,1185.400252428261
2010-12-04,0.805777,0.0,774.7065073670137,0.0,0.0,0.0,0.0,0.0,1321.789070100413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116.4144259473
2010-12-11,1.10577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1901.9875763891864,487.7652021357506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.851534819232
2010-12-18,1.37845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1187.6446453528492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083.7662004611843
2010-12-25,2.36079,0.0,628.8867898795158,0.0,0.0,0.0,0.0,614.4165922427262,1565.6204615374745,0.0,0.0,0.0,0.0,0.0,833.718910566199,0.0,0.0,0.0,0.0,0.0,1963.1008367522677
2011-01-01,2.74332,605.2622524986256,816.2396208982441,0.0,0.0,0.0,0.0,0.0,1486.9263553256567,0.0,0.0,0.0,0.0,670.1971284033077,0.0,0.0,0.0,0.0,0.0,0.0,1948.3306891004377
2011-01-08,1.69993,761.8038472379112,432.07993979557256,0.0,0.0,756.9889788938058,0.0,791.7799136581086,1495.047686704021,0.0,450.9996468357061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.504167828086
2011-01-15,2.72602,818.428630781707,557.9284589868371,0.0,0.0,590.8131661977617,0.0,614.574272222275,1395.1124756294826,0.0,0.0,0.0,0.0,428.7436972850611,0.0,0.0,0.0,0.0,0.0,0.0,1086.1576981497676
2011-01-22,3.6452,926.2954528298176,593.8709349337018,427.0085084570341,0.0,540.7582235295631,392.10220534021136,480.0193196162036,1475.1374347178512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.3853231308429,0.0,843.864785596765
2011-01-29,5.15049,728.5457031744944,977.7442136714368,0.0,0.0,1214.8413724408774,0.0,1010.9042211521568,865.907333936602,416.6530042332225,303.4161999989783,0.0,0.0,0.0,0.0,390.845142940844,0.0,0.0,0.0,0.0,1257.005415901203
2011-02-05,6.39836,1298.874691009745,860.7233684286041,0.0,308.2784242699828,883.777968293662,415.1605156102378,620.2383185779522,1612.3050281562191,372.5547289774959,0.0,259.46569426491726,259.46569426491726,0.0,340.6565703259335,0.0,0.0,0.0,0.0,0.0,1208.371911620236
