Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
how long does flu last,Bonferroni,4,0.0005887500000000001,0.0006425000000000001,4e-05,0.00103
symptoms of flu,Bonferroni,3,0.000987,0.001018,0.000317,0.001626
the flu symptoms,Bonferroni,1,0.001744,0.001744,0.001744,0.001744
how long does flu last,FDR,3,0.017647333333333334,0.013569,0.01202,0.027353
flu a,FDR,3,0.005680666666666667,0.004993,0.00486,0.007189
flu symptoms,FDR,2,0.007898,0.007898,0.005902,0.009894
flu how long,FDR,1,0.004651,0.004651,0.004651,0.004651
how long flu,FDR,1,0.004651,0.004651,0.004651,0.004651
the flu symptoms,Uncorrected,3,0.016403666666666667,0.02072,0.005269,0.023222
contagious flu,Uncorrected,3,0.021067333333333337,0.011105,0.009795,0.042302
flu contagious,Uncorrected,3,0.021067333333333337,0.011105,0.009795,0.042302
the flu,Uncorrected,2,0.0274615,0.0274615,0.015549,0.039374
flu test,Uncorrected,2,0.0259545,0.0259545,0.015864,0.036045
bronchitis,Uncorrected,2,0.0400445,0.0400445,0.035499,0.04459
how long does flu last,Uncorrected,1,0.005254,0.005254,0.005254,0.005254
flu symptoms,Uncorrected,1,0.012031,0.012031,0.012031,0.012031
pneumonia,Uncorrected,1,0.029141,0.029141,0.029141,0.029141
is flu contagious,Uncorrected,1,0.034985,0.034985,0.034985,0.034985
flu cold,Uncorrected,1,0.035503,0.035503,0.035503,0.035503
flu type,Uncorrected,1,0.045946,0.045946,0.045946,0.045946
