Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
stomach flu,Bonferroni,3,1.1333333333333334e-05,6e-06,1e-06,2.7e-05
flu contagious,Bonferroni,3,0.000579,0.000699,0.00033,0.000708
contagious flu,Bonferroni,3,0.000579,0.000699,0.00033,0.000708
rsv,FDR,2,0.0067165,0.0067165,0.003495,0.009938
sinus,FDR,2,0.0110615,0.0110615,0.010629,0.011494
flu a,FDR,2,0.015695,0.015695,0.011725,0.019665
stomach flu,FDR,1,0.004558,0.004558,0.004558,0.004558
flu contagious,FDR,1,0.002683,0.002683,0.002683,0.002683
contagious flu,FDR,1,0.002683,0.002683,0.002683,0.002683
flu symptoms,FDR,1,0.008367,0.008367,0.008367,0.008367
bronchitis,FDR,1,0.014611,0.014611,0.014611,0.014611
influenza a,FDR,1,0.020876,0.020876,0.020876,0.020876
rsv,Uncorrected,2,0.0150755,0.0150755,0.014942,0.015209
influenza a,Uncorrected,2,0.0246835,0.0246835,0.021547,0.02782
pneumonia,Uncorrected,2,0.040988,0.040988,0.040104,0.041872
flu a,Uncorrected,1,0.021135,0.021135,0.021135,0.021135
bronchitis,Uncorrected,1,0.04411,0.04411,0.04411,0.04411
how long flu,Uncorrected,1,0.028287,0.028287,0.028287,0.028287
the flu,Uncorrected,1,0.033558,0.033558,0.033558,0.033558
