Term,Lag,P_Value,Significance
bronchitis,1,0.014610751324779339,FDR
contagious flu,2,0.0006990975579693688,Bonferroni
flu a,3,0.019665226791776555,FDR
flu contagious,2,0.0006990975549470903,Bonferroni
flu symptoms,5,0.008366709597991096,FDR
influenza a,1,0.03220161775995058,FDR
influenza a,3,0.020876333377463734,FDR
rsv,1,0.013268918194642425,FDR
rsv,2,0.0034953534449744667,FDR
sinus,4,0.010628720304063366,FDR
stomach flu,2,0.004437990949260065,FDR
stomach flu,3,2.6650987451708946e-05,Bonferroni
