Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
flu type,Bonferroni,2,0.0018835,0.0018835,0.001865,0.001902
rsv,Bonferroni,1,0.000192,0.000192,0.000192,0.000192
pneumonia,Bonferroni,1,0.001192,0.001192,0.001192,0.001192
the flu symptoms,FDR,3,0.005125,0.004513,0.00419,0.006672
the flu,FDR,2,0.007124,0.007124,0.00658,0.007668
flu type,FDR,1,0.002532,0.002532,0.002532,0.002532
flu cold,FDR,1,0.005943,0.005943,0.005943,0.005943
flu a,FDR,1,0.007667,0.007667,0.007667,0.007667
how long flu,FDR,1,0.008915,0.008915,0.008915,0.008915
flu how long,FDR,1,0.008915,0.008915,0.008915,0.008915
rsv,Uncorrected,4,0.038778,0.0402085,0.030258,0.044437
pneumonia,Uncorrected,3,0.028770666666666667,0.030342,0.019126,0.036844
flu cold,Uncorrected,2,0.021269,0.021269,0.013515,0.029023
the flu,Uncorrected,2,0.026497999999999997,0.026497999999999997,0.010169,0.042827
flu a,Uncorrected,2,0.027450000000000002,0.027450000000000002,0.027114,0.027786
flu fever,Uncorrected,2,0.038896,0.038896,0.030805,0.046987
fever flu,Uncorrected,2,0.038896,0.038896,0.030805,0.046987
flu symptoms,Uncorrected,1,0.011021,0.011021,0.011021,0.011021
strep,Uncorrected,1,0.023207,0.023207,0.023207,0.023207
