Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
flu type,Bonferroni,6,0.0005565,4e-06,0.0,0.001968
cold,Bonferroni,5,0.0,0.0,0.0,0.0
flu symptoms,Bonferroni,5,0.0003386,0.00025,2.3e-05,0.000813
is flu contagious,Bonferroni,4,0.00019475,0.0001895,8.8e-05,0.000312
how long does flu last,Bonferroni,2,0.0014595,0.0014595,0.000676,0.002243
rsv,Bonferroni,1,0.000213,0.000213,0.000213,0.000213
fever flu,Bonferroni,1,0.000537,0.000537,0.000537,0.000537
flu fever,Bonferroni,1,0.000537,0.000537,0.000537,0.000537
symptoms of flu,Bonferroni,1,0.001431,0.001431,0.001431,0.001431
how long does flu last,FDR,8,0.0205335,0.016584,0.004071,0.045626
flu cold,FDR,7,0.014863285714285714,0.009964,0.002949,0.040636
the flu,FDR,4,0.0161525,0.0125065,0.008665,0.030932
cold,FDR,3,0.04086066666666666,0.041649,0.03908,0.041853
flu symptoms,FDR,3,0.03510066666666667,0.036722,0.023682,0.044898
symptoms of flu,FDR,3,0.010341000000000001,0.010061,0.009562,0.0114
flu virus,FDR,3,0.009685666666666667,0.008086,0.003863,0.017108
the flu symptoms,FDR,3,0.014317999999999999,0.012758,0.008538,0.021658
flu type,FDR,2,0.003232,0.003232,0.002517,0.003947
flu a,FDR,2,0.0221995,0.0221995,0.014454,0.029945
fever flu,FDR,1,0.027049,0.027049,0.027049,0.027049
flu fever,FDR,1,0.027049,0.027049,0.027049,0.027049
bronchitis,FDR,1,0.006439,0.006439,0.006439,0.006439
pneumonia,FDR,1,0.008909,0.008909,0.008909,0.008909
flu a,Uncorrected,3,0.03534966666666667,0.032502,0.025551,0.047996
flu virus,Uncorrected,2,0.03787,0.03787,0.030557,0.045183
fever flu,Uncorrected,1,0.031203,0.031203,0.031203,0.031203
flu fever,Uncorrected,1,0.031203,0.031203,0.031203,0.031203
symptoms of flu,Uncorrected,1,0.047287,0.047287,0.047287,0.047287
