Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
stomach flu,Bonferroni,2,0.00043999999999999996,0.00043999999999999996,0.000391,0.000489
how long flu,Bonferroni,2,0.0008600000000000001,0.0008600000000000001,0.000684,0.001036
flu how long,Bonferroni,2,0.0008600000000000001,0.0008600000000000001,0.000684,0.001036
flu a,FDR,2,0.007494499999999999,0.007494499999999999,0.005217,0.009772
influenza a,Uncorrected,4,0.03207975,0.0354945,0.017172,0.040158
a influenza,Uncorrected,4,0.03207975,0.0354945,0.017172,0.040158
stomach flu,Uncorrected,3,0.005726333333333333,0.004161,0.003797,0.009221
how long does flu last,Uncorrected,3,0.020727333333333334,0.02093,0.017613,0.023639
flu cold,Uncorrected,2,0.0195135,0.0195135,0.01796,0.021067
the flu,Uncorrected,2,0.0222665,0.0222665,0.020152,0.024381
flu a,Uncorrected,1,0.028103,0.028103,0.028103,0.028103
flu symptoms,Uncorrected,1,0.042316,0.042316,0.042316,0.042316
