Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
the flu,Bonferroni,6,0.0008013333333333335,0.0006154999999999999,0.00011,0.002255
how long does flu last,Bonferroni,2,0.0016395,0.0016395,0.001369,0.00191
rsv,Bonferroni,1,0.000558,0.000558,0.000558,0.000558
stomach flu,Bonferroni,1,0.000981,0.000981,0.000981,0.000981
sinus,Bonferroni,1,0.001397,0.001397,0.001397,0.001397
the flu,FDR,2,0.0095235,0.0095235,0.007313,0.011734
influenza a,FDR,2,0.0052085,0.0052085,0.003861,0.006556
how long does flu last,FDR,1,0.004604,0.004604,0.004604,0.004604
sinus,Uncorrected,4,0.03089725,0.027451,0.025007,0.04368
influenza a,Uncorrected,3,0.01855,0.020094,0.0088,0.026756
cold,Uncorrected,3,0.04036,0.038506,0.035193,0.047381
cold symptoms,Uncorrected,2,0.0247125,0.0247125,0.014756,0.034669
flu cold,Uncorrected,2,0.0300375,0.0300375,0.017443,0.042632
flu how long,Uncorrected,2,0.0437155,0.0437155,0.040927,0.046504
strep,Uncorrected,1,0.013287,0.013287,0.013287,0.013287
a influenza,Uncorrected,1,0.015728,0.015728,0.015728,0.015728
bronchitis,Uncorrected,1,0.019317,0.019317,0.019317,0.019317
