term,lag,pvalue,significant_raw,significant_fdr,significant_bonferroni
flu contagious,1,0.3280325179908342,False,False,False
sinus,1,0.9509761874783,False,False,False
pneumonia,1,0.8643183385833751,False,False,False
rsv,1,0.5366724848001747,False,False,False
flu contagious,2,0.5102279115457444,False,False,False
sinus,2,0.006100814293036177,True,False,False
pneumonia,2,0.014324454495513946,True,False,False
rsv,2,0.07197501367966679,False,False,False
flu contagious,3,0.5452779037982436,False,False,False
sinus,3,0.9269446662677929,False,False,False
pneumonia,3,0.04159655907531703,True,False,False
rsv,3,0.04259136287504032,True,False,False
flu contagious,4,0.8894912416939746,False,False,False
sinus,4,0.055476463438172495,False,False,False
pneumonia,4,0.36983085596913035,False,False,False
rsv,4,0.7268691484295182,False,False,False
flu contagious,5,0.03014450411922278,True,False,False
sinus,5,0.6583097015169534,False,False,False
pneumonia,5,0.7094995166420819,False,False,False
rsv,5,0.3294142011384188,False,False,False
