Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
influenza a,Bonferroni,5,0.0004904,0.000363,9e-06,0.001285
sinus,Bonferroni,2,0.001633,0.001633,0.001322,0.001944
a influenza,Bonferroni,1,0.000245,0.000245,0.000245,0.000245
flu symptoms,Bonferroni,1,0.001046,0.001046,0.001046,0.001046
rsv,Bonferroni,1,0.001103,0.001103,0.001103,0.001103
flu symptoms,FDR,3,0.007233333333333334,0.007417,0.0057,0.008583
flu how long,FDR,2,0.0092895,0.0092895,0.003886,0.014693
how long flu,FDR,2,0.0092895,0.0092895,0.003886,0.014693
strep,FDR,2,0.0054859999999999996,0.0054859999999999996,0.004092,0.00688
a influenza,FDR,1,0.009731,0.009731,0.009731,0.009731
sinus,FDR,1,0.006008,0.006008,0.006008,0.006008
flu fever,FDR,1,0.012192,0.012192,0.012192,0.012192
fever flu,FDR,1,0.012192,0.012192,0.012192,0.012192
stomach flu,FDR,1,0.013103,0.013103,0.013103,0.013103
a influenza,Uncorrected,2,0.0187895,0.0187895,0.017335,0.020244
flu how long,Uncorrected,2,0.0345095,0.0345095,0.027241,0.041778
how long flu,Uncorrected,2,0.0345095,0.0345095,0.027241,0.041778
flu fever,Uncorrected,2,0.041565000000000005,0.041565000000000005,0.038792,0.044338
fever flu,Uncorrected,2,0.041565000000000005,0.041565000000000005,0.038792,0.044338
influenza symptoms,Uncorrected,2,0.0230525,0.0230525,0.015627,0.030478
flu symptoms,Uncorrected,1,0.012032,0.012032,0.012032,0.012032
stomach flu,Uncorrected,1,0.045112,0.045112,0.045112,0.045112
contagious flu,Uncorrected,1,0.04146,0.04146,0.04146,0.04146
the flu,Uncorrected,1,0.045875,0.045875,0.045875,0.045875
