Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
influenza symptoms,Bonferroni,2,0.0005635,0.0005635,0.000563,0.000564
rsv,Uncorrected,5,0.026351000000000003,0.031737,0.011584,0.038271
influenza a,Uncorrected,4,0.0110775,0.011446999999999999,0.002993,0.018423
influenza b,Uncorrected,4,0.0224785,0.022255999999999998,0.012717,0.032685
symptoms of influenza,Uncorrected,3,0.024499999999999997,0.019632,0.012997,0.040871
contagious flu,Uncorrected,3,0.03512033333333334,0.034178,0.025943,0.04524
influenza symptoms,Uncorrected,2,0.020909999999999998,0.020909999999999998,0.006652,0.035168
the flu symptoms,Uncorrected,2,0.017156,0.017156,0.008788,0.025524
flu symptoms,Uncorrected,1,0.029667,0.029667,0.029667,0.029667
a influenza,Uncorrected,1,0.037661,0.037661,0.037661,0.037661
