Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
the flu,Bonferroni,5,0.000333,0.000162,5.7e-05,0.000755
stomach flu,Bonferroni,4,0.000724,0.00040249999999999997,2.8e-05,0.002063
influenza b,Bonferroni,3,0.00035233333333333335,4.3e-05,2.1e-05,0.000993
influenza a symptoms,Bonferroni,3,0.0020386666666666665,0.002036,0.001949,0.002131
influenza symptoms,Bonferroni,1,0.001657,0.001657,0.001657,0.001657
flu symptoms,FDR,4,0.00438775,0.004334,0.003424,0.005459
influenza a symptoms,FDR,3,0.013061333333333333,0.003093,0.002691,0.0334
influenza b,FDR,2,0.0294035,0.0294035,0.023673,0.035134
stomach flu,FDR,2,0.017883,0.017883,0.004996,0.03077
influenza symptoms,FDR,2,0.0095095,0.0095095,0.005581,0.013438
pneumonia,FDR,2,0.0088155,0.0088155,0.00704,0.010591
the flu,FDR,1,0.044275,0.044275,0.044275,0.044275
influenza a,FDR,1,0.00924,0.00924,0.00924,0.00924
a influenza,FDR,1,0.00924,0.00924,0.00924,0.00924
flu how long,Uncorrected,4,0.03021575,0.028285499999999998,0.015757,0.048535
flu symptoms,Uncorrected,1,0.016263,0.016263,0.016263,0.016263
rsv,Uncorrected,1,0.02676,0.02676,0.02676,0.02676
