term,lag,pvalue,significant_raw,significant_fdr,significant_bonferroni
flu cold,1,0.4379116788110293,False,True,False
flu symptoms,1,0.05967135237084531,False,False,False
stomach flu,1,0.8665265861633895,False,True,False
the flu,1,0.009604590143092569,True,True,False
rsv,1,0.007695170364717846,True,True,False
flu how long,1,0.05180561259836802,False,False,False
flu cold,2,0.007707363650784476,True,True,False
flu symptoms,2,0.027039477929358548,True,False,False
stomach flu,2,0.2582632084028744,False,True,False
the flu,2,0.30726675251518887,False,True,False
rsv,2,0.829199764039019,False,True,False
flu how long,2,0.5001163417300356,False,False,False
flu cold,3,0.5413799469812776,False,True,False
flu symptoms,3,0.12145515864302706,False,False,False
stomach flu,3,0.2894175853080216,False,True,False
the flu,3,0.4682116256787797,False,True,False
rsv,3,0.5391641879382655,False,True,False
flu how long,3,0.018817389726326197,True,False,False
flu cold,4,0.8160198684905631,False,True,False
flu symptoms,4,0.4563663468835262,False,False,False
stomach flu,4,0.8840602340403858,False,True,False
the flu,4,0.48112776482584596,False,True,False
rsv,4,0.009551204519668753,True,True,False
flu how long,4,0.16788598027161852,False,False,False
flu cold,5,0.48286911184298875,False,True,False
flu symptoms,5,0.33065361478007793,False,False,False
stomach flu,5,0.006343283499541399,True,True,False
the flu,5,0.4273600630972477,False,True,False
rsv,5,0.2840256810720067,False,True,False
flu how long,5,0.5080223120062446,False,False,False
