Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
cold,Bonferroni,5,0.0002854,0.000144,4e-06,0.001053
fever flu,Bonferroni,3,0.001174,0.001452,0.000407,0.001663
flu type,Bonferroni,3,0.0017196666666666664,0.00179,0.001102,0.002267
rsv,Bonferroni,2,6.649999999999999e-05,6.649999999999999e-05,4.9e-05,8.4e-05
rsv,FDR,2,0.0070495,0.0070495,0.00694,0.007159
the flu,FDR,2,0.006125500000000001,0.006125500000000001,0.004155,0.008096
b flu,FDR,2,0.007887,0.007887,0.006034,0.00974
symptoms of the flu,FDR,1,0.002963,0.002963,0.002963,0.002963
symptoms of flu,FDR,1,0.007947,0.007947,0.007947,0.007947
symptoms of flu,Uncorrected,4,0.025390499999999996,0.021852499999999997,0.01595,0.041907
b flu,Uncorrected,3,0.018677333333333334,0.016952,0.015134,0.023946
type a flu,Uncorrected,3,0.02899033333333333,0.026818,0.026754,0.033399
flu cold,Uncorrected,3,0.04078033333333333,0.037126,0.03619,0.049025
rsv,Uncorrected,1,0.032389,0.032389,0.032389,0.032389
flu type,Uncorrected,1,0.030218,0.030218,0.030218,0.030218
the flu,Uncorrected,1,0.016695,0.016695,0.016695,0.016695
pneumonia,Uncorrected,1,0.028726,0.028726,0.028726,0.028726
flu how long,Uncorrected,1,0.036115,0.036115,0.036115,0.036115
flu a,Uncorrected,1,0.042419,0.042419,0.042419,0.042419
