Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
the flu,Bonferroni,4,2e-06,2.4999999999999998e-06,0.0,3e-06
rsv,Bonferroni,2,0.0009350000000000001,0.0009350000000000001,0.00051,0.00136
flu symptoms,Bonferroni,1,0.001145,0.001145,0.001145,0.001145
rsv,FDR,3,0.006195666666666666,0.006389,0.004936,0.007262
flu symptoms,FDR,3,0.004499666666666667,0.00448,0.004059,0.00496
how long does flu last,FDR,1,0.003761,0.003761,0.003761,0.003761
symptoms of flu,Uncorrected,4,0.021745749999999998,0.020562,0.014874,0.030985
how long does flu last,Uncorrected,2,0.018503,0.018503,0.018225,0.018781
sinus,Uncorrected,1,0.015278,0.015278,0.015278,0.015278
the flu symptoms,Uncorrected,1,0.025168,0.025168,0.025168,0.025168
