term,lag,pvalue,significant_raw,significant_fdr,significant_bonferroni
a influenza,1,0.03761634772456963,True,False,False
influenza a,1,0.037616347599205575,True,False,False
the flu symptoms,1,0.025848776254177308,True,False,False
how long does flu last,1,0.16550104205810653,False,False,False
a influenza,2,0.49103016301212676,False,False,False
influenza a,2,0.49103016200074157,False,False,False
the flu symptoms,2,0.19585190362518967,False,False,False
how long does flu last,2,0.2700987169160955,False,False,False
a influenza,3,0.44450320300792723,False,False,False
influenza a,3,0.44450320276456434,False,False,False
the flu symptoms,3,0.28085882699451675,False,False,False
how long does flu last,3,0.09657343699346647,False,False,False
a influenza,4,0.607360117579234,False,False,False
influenza a,4,0.6073601179203161,False,False,False
the flu symptoms,4,0.40559450992828094,False,False,False
how long does flu last,4,0.3638831268424795,False,False,False
a influenza,5,0.6582441675379508,False,False,False
influenza a,5,0.6582441674715391,False,False,False
the flu symptoms,5,0.5915937447901036,False,False,False
how long does flu last,5,0.026418395454507092,True,False,False
