term,lag,pvalue,significant_raw,significant_fdr,significant_bonferroni
pneumonia,1,0.5411151278574708,False,False,False
the flu symptoms,1,0.5294373474384977,False,False,False
sinus,1,0.710697413962605,False,False,False
cold,1,0.4052787906693638,False,False,False
pneumonia,2,0.1619883772246012,False,False,False
the flu symptoms,2,0.036168511712760726,True,False,False
sinus,2,0.5966294102610334,False,False,False
cold,2,0.01662242605995385,True,False,False
pneumonia,3,0.5392792515318545,False,False,False
the flu symptoms,3,0.8141526527402732,False,False,False
sinus,3,0.47492234266885225,False,False,False
cold,3,0.9081059282134216,False,False,False
pneumonia,4,0.019377943594409988,True,False,False
the flu symptoms,4,0.09459046101364371,False,False,False
sinus,4,0.02043969289083635,True,False,False
cold,4,0.12806862688441134,False,False,False
pneumonia,5,0.8978645625375252,False,False,False
the flu symptoms,5,0.0680402338702904,False,False,False
sinus,5,0.5782188217427767,False,False,False
cold,5,0.5026604353807784,False,False,False
