Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
a influenza,Bonferroni,5,1.6e-06,1e-06,0.0,6e-06
influenza a,Bonferroni,5,1.6e-06,1e-06,0.0,6e-06
rsv,Bonferroni,4,0.0012005000000000002,0.0009975,0.000558,0.002249
contagious flu,Bonferroni,2,0.001307,0.001307,0.000552,0.002062
the flu,Bonferroni,1,0.000407,0.000407,0.000407,0.000407
cold,Bonferroni,1,0.001738,0.001738,0.001738,0.001738
flu a,Bonferroni,1,0.002476,0.002476,0.002476,0.002476
cold,FDR,5,0.0192552,0.01826,0.006611,0.029445
contagious flu,FDR,4,0.01953,0.019773,0.013018,0.025556
the flu symptoms,FDR,4,0.00853675,0.008279,0.005688,0.011901
symptoms of flu,FDR,4,0.021227,0.0243185,0.006563,0.029708
pneumonia,FDR,3,0.009719333333333333,0.012073,0.003048,0.014037
influenza a symptoms,FDR,3,0.01925,0.021158,0.004221,0.032371
a influenza,FDR,2,0.00588,0.00588,0.004355,0.007405
influenza a,FDR,2,0.00588,0.00588,0.004355,0.007405
rsv,FDR,2,0.039098,0.039098,0.030376,0.04782
flu a,FDR,2,0.0106385,0.0106385,0.007104,0.014173
influenza symptoms,FDR,2,0.019984500000000002,0.019984500000000002,0.016539,0.02343
the flu,FDR,1,0.015962,0.015962,0.015962,0.015962
flu how long,FDR,1,0.024613,0.024613,0.024613,0.024613
influenza symptoms,Uncorrected,3,0.034237666666666666,0.028987,0.026087,0.047639
the flu,Uncorrected,2,0.039624,0.039624,0.034392,0.044856
how long does flu last,Uncorrected,2,0.045394000000000004,0.045394000000000004,0.041153,0.049635
cold,Uncorrected,1,0.042285,0.042285,0.042285,0.042285
flu a,Uncorrected,1,0.019685,0.019685,0.019685,0.019685
influenza a symptoms,Uncorrected,1,0.038258,0.038258,0.038258,0.038258
the flu symptoms,Uncorrected,1,0.021971,0.021971,0.021971,0.021971
flu how long,Uncorrected,1,0.015339,0.015339,0.015339,0.015339
