Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
flu how long,Bonferroni,7,0.0005472857142857143,0.0,0.0,0.002138
how long flu,Bonferroni,7,0.0005472857142857143,0.0,0.0,0.002138
influenza a,Bonferroni,5,0.0,0.0,0.0,0.0
flu a,Bonferroni,3,0.0005283333333333333,0.000555,0.000395,0.000635
flu how long,FDR,4,0.0056742500000000005,0.004880499999999999,0.004204,0.008732
how long flu,FDR,4,0.0056742500000000005,0.004880499999999999,0.004204,0.008732
influenza a,FDR,2,0.015877500000000003,0.015877500000000003,0.014026,0.017729
rsv,Uncorrected,5,0.0227912,0.022375,0.013741,0.033171
how long does flu last,Uncorrected,2,0.036892999999999995,0.036892999999999995,0.025303,0.048483
pneumonia,Uncorrected,2,0.0418305,0.0418305,0.038208,0.045453
the flu,Uncorrected,1,0.039441,0.039441,0.039441,0.039441
