Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
cold,Bonferroni,5,4.000000000000001e-06,4e-06,0.0,1e-05
sinus,FDR,2,0.003941999999999999,0.003941999999999999,0.003292,0.004592
a influenza,Uncorrected,4,0.0401725,0.042660000000000003,0.030175,0.045195
sinus,Uncorrected,3,0.025071,0.027141,0.008345,0.039727
bronchitis,Uncorrected,3,0.03020766666666667,0.034409,0.013427,0.042787
flu how long,Uncorrected,2,0.0111635,0.0111635,0.010815,0.011512
how long flu,Uncorrected,2,0.0179285,0.0179285,0.015521,0.020336
symptoms of flu,Uncorrected,2,0.035546,0.035546,0.02134,0.049752
flu a,Uncorrected,2,0.036442,0.036442,0.027764,0.04512
flu cold,Uncorrected,1,0.012525,0.012525,0.012525,0.012525
stomach flu,Uncorrected,1,0.0172,0.0172,0.0172,0.0172
fever flu,Uncorrected,1,0.017229,0.017229,0.017229,0.017229
the flu symptoms,Uncorrected,1,0.045596,0.045596,0.045596,0.045596
influenza a,Uncorrected,1,0.049525,0.049525,0.049525,0.049525
