Term,Lag,P_Value,Significance
a influenza,5,0.01339563119647791,FDR
bronchitis,2,0.02761839891886831,FDR
contagious flu,3,0.032072368200853595,FDR
contagious flu,4,0.047648410081200916,FDR
contagious flu,5,0.01413062231331254,FDR
fever flu,3,0.004361296747769249,FDR
fever flu,4,0.009579958893652171,FDR
flu contagious,1,0.01600887958653325,FDR
flu contagious,3,0.0262040103045946,FDR
flu cough,3,0.01591485835439881,FDR
flu fever,3,0.004361296745970312,FDR
flu fever,4,0.009579958893456067,FDR
how long does flu last,3,0.020567187957561604,FDR
influenza a,5,0.013395631194401505,FDR
symptoms of flu,3,0.005700686578270315,FDR
the flu,1,0.005761793243515911,FDR
the flu symptoms,1,0.02588702061983461,FDR
