Term,Lag,P_Value,Significance
bronchitis,2,0.028982918957878773,FDR
bronchitis,3,0.002821886777620288,FDR
flu contagious,1,0.025688915775709937,FDR
flu contagious,2,0.007523308921497423,FDR
flu contagious,4,0.034099412609144036,FDR
flu how long,1,0.014750349322335267,FDR
flu how long,3,0.04610332740209772,FDR
flu incubation,2,0.007409707037938261,FDR
flu symptoms,1,0.0036809199691758593,FDR
how long contagious,3,0.008269327059243145,FDR
pneumonia,4,0.032047634503458745,Uncorrected
symptoms of the flu,2,0.010771636509885227,FDR
