Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
type a flu,Bonferroni,3,0.0004086666666666666,0.000207,0.00013,0.000889
flu type a,Bonferroni,3,0.0004086666666666666,0.000207,0.00013,0.000889
the flu,Bonferroni,2,0.0009760000000000001,0.0009760000000000001,0.000555,0.001397
how long flu,Bonferroni,2,0.0010875,0.0010875,0.000818,0.001357
rsv,Bonferroni,1,0.00017,0.00017,0.00017,0.00017
type a flu,FDR,9,0.012307444444444444,0.008659,0.003155,0.030905
flu type a,FDR,9,0.012307444444444444,0.008659,0.003155,0.030905
how long flu,FDR,5,0.025814999999999998,0.02761,0.009635,0.046443
the flu,FDR,4,0.008743,0.0084475,0.007502,0.010575
flu symptoms,FDR,3,0.006335999999999999,0.004402,0.004311,0.010295
flu contagious,FDR,2,0.004941,0.004941,0.002528,0.007354
flu a,FDR,2,0.010087,0.010087,0.007475,0.012699
pneumonia,FDR,2,0.012529,0.012529,0.008996,0.016062
contagious flu,FDR,1,0.008977,0.008977,0.008977,0.008977
how long contagious,Uncorrected,5,0.029313,0.025186,0.015318,0.047948
the flu symptoms,Uncorrected,3,0.032942,0.032345,0.019995,0.046486
stomach flu,Uncorrected,3,0.033750333333333334,0.028102,0.027452,0.045697
flu contagious,Uncorrected,2,0.0311075,0.0311075,0.018061,0.044154
flu a,Uncorrected,2,0.028267,0.028267,0.017566,0.038968
pneumonia,Uncorrected,2,0.034152,0.034152,0.03001,0.038294
flu how long,Uncorrected,2,0.032395999999999994,0.032395999999999994,0.032323,0.032469
flu symptoms,Uncorrected,1,0.044263,0.044263,0.044263,0.044263
symptoms of flu,Uncorrected,1,0.030113,0.030113,0.030113,0.030113
fever flu,Uncorrected,1,0.035268,0.035268,0.035268,0.035268
