Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
the flu symptoms,Bonferroni,2,0.0002145,0.0002145,0.000181,0.000248
flu cold,Uncorrected,6,0.028710166666666665,0.027201000000000003,0.016558,0.043664
flu a,Uncorrected,5,0.0093876,0.006801,0.002589,0.016423
rsv,Uncorrected,5,0.0168622,0.011171,0.008093,0.038359
the flu,Uncorrected,3,0.03937533333333334,0.039962,0.029698,0.048466
the flu symptoms,Uncorrected,2,0.0039055,0.0039055,0.002576,0.005235
symptoms of flu,Uncorrected,2,0.017738999999999998,0.017738999999999998,0.016956,0.018522
flu contagious,Uncorrected,2,0.026261,0.026261,0.021139,0.031383
bronchitis,Uncorrected,2,0.037637500000000004,0.037637500000000004,0.029112,0.046163
how long flu,Uncorrected,1,0.047635,0.047635,0.047635,0.047635
flu how long,Uncorrected,1,0.047635,0.047635,0.047635,0.047635
