Term,Lag,P_Value,Significance
a influenza,4,0.0003200520393707486,Bonferroni
bronchitis,4,0.04097876434753592,Uncorrected
cold,2,0.022233366162239677,FDR
contagious flu,1,0.008383211391110867,FDR
fever flu,1,0.025851535597929215,FDR
fever flu,5,0.04374448000538951,FDR
flu contagious,1,0.037749091195009125,FDR
flu contagious,4,0.008540722389891032,FDR
flu fever,1,0.02585153560243335,FDR
flu fever,5,0.04374447999796503,FDR
flu how long,1,0.049522139079038116,FDR
flu how long,4,0.010060522645696549,FDR
flu symptoms,2,0.013174962926158842,FDR
how long does the flu last,5,0.024053037721412287,FDR
how long flu,1,0.04952213878312517,FDR
how long flu,4,0.010060522640355564,FDR
influenza a,4,0.0003200520393312666,Bonferroni
stomach flu,5,0.039463661970912466,Uncorrected
the flu,1,7.941783351504193e-05,Bonferroni
