term,lag,pvalue,significant_raw,significant_fdr,significant_bonferroni
flu fever,1,0.0005070195301355453,True,True,True
stomach flu,1,0.04071116346474482,True,False,False
fever flu,1,0.0005070195299297376,True,True,True
flu contagious,1,6.785574835789676e-05,True,True,True
contagious flu,1,6.785574827057469e-05,True,True,True
flu fever,2,0.002257903319535399,True,True,True
stomach flu,2,0.21814302270408553,False,False,False
fever flu,2,0.0022579033210349203,True,True,True
flu contagious,2,0.034668212758802185,True,True,True
contagious flu,2,0.034668212778770406,True,True,True
flu fever,3,0.5964840751546672,False,True,True
stomach flu,3,0.3604339013292127,False,False,False
fever flu,3,0.5964840752177452,False,True,True
flu contagious,3,0.4018751350727411,False,True,True
contagious flu,3,0.4018751351066273,False,True,True
flu fever,4,0.0791254629119714,False,True,True
stomach flu,4,0.23966318360329258,False,False,False
fever flu,4,0.07912546291306827,False,True,True
flu contagious,4,0.8502283258171492,False,True,True
contagious flu,4,0.8502283258818638,False,True,True
flu fever,5,0.3621073015720895,False,True,True
stomach flu,5,0.3243653843459008,False,False,False
fever flu,5,0.3621073015787537,False,True,True
flu contagious,5,0.09200702194647718,False,True,True
contagious flu,5,0.09200702192510794,False,True,True
