Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
is flu contagious,Bonferroni,5,0.0009522,0.000808,7.7e-05,0.002367
how long contagious,Bonferroni,2,0.0005555,0.0005555,1.9e-05,0.001092
is the flu contagious,Bonferroni,2,0.001608,0.001608,0.000926,0.00229
contagious flu,Bonferroni,1,0.000499,0.000499,0.000499,0.000499
get rid of flu,Bonferroni,1,0.000681,0.000681,0.000681,0.000681
how long are you contagious,Bonferroni,1,0.001032,0.001032,0.001032,0.001032
flu type,Bonferroni,1,0.001568,0.001568,0.001568,0.001568
flu type a,Bonferroni,1,0.001995,0.001995,0.001995,0.001995
type a flu,Bonferroni,1,0.002007,0.002007,0.002007,0.002007
how long is flu contagious,Bonferroni,1,0.002462,0.002462,0.002462,0.002462
how long contagious,FDR,5,0.022605,0.027479,0.003864,0.047054
contagious flu,FDR,4,0.0090535,0.008108,0.002592,0.017406
is the flu contagious,FDR,3,0.009235333333333333,0.009061,0.00815,0.010495
how long is flu contagious,FDR,2,0.023509500000000003,0.023509500000000003,0.016167,0.030852
flu type,FDR,1,0.006562,0.006562,0.006562,0.006562
tamiflu side effects,FDR,1,0.004328,0.004328,0.004328,0.004328
tamiflu side effects,Uncorrected,4,0.0262505,0.026924,0.019667,0.031487
fever cough,Uncorrected,4,0.03175525,0.0306355,0.022673,0.043077
cough fever,Uncorrected,3,0.031455000000000004,0.035785,0.022652,0.035928
get rid of the flu,Uncorrected,3,0.03612866666666666,0.033236,0.027154,0.047996
flu type a,Uncorrected,2,0.026465,0.026465,0.021133,0.031797
type a flu,Uncorrected,2,0.0267475,0.0267475,0.021276,0.032219
how long is flu contagious,Uncorrected,2,0.032092,0.032092,0.031225,0.032959
flu contagious,Uncorrected,2,0.034846,0.034846,0.030439,0.039253
flu type,Uncorrected,1,0.042341,0.042341,0.042341,0.042341
