Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
is flu contagious,Bonferroni,4,0.00028425,0.0002535,7.7e-05,0.000553
rsv,Bonferroni,1,0.0,0.0,0.0,0.0
the flu,Bonferroni,1,0.000542,0.000542,0.000542,0.000542
sinus,Bonferroni,1,0.001137,0.001137,0.001137,0.001137
flu incubation,Bonferroni,1,0.001638,0.001638,0.001638,0.001638
is flu contagious,FDR,4,0.015058499999999999,0.013634,0.01136,0.021606
the flu,FDR,1,0.035271,0.035271,0.035271,0.035271
rsv,Uncorrected,8,0.030099375,0.032365000000000005,0.011683,0.043475
the flu,Uncorrected,7,0.026984428571428576,0.024804,0.017094,0.037979
flu incubation,Uncorrected,3,0.018767000000000002,0.020183,0.015225,0.020893
flu symptoms,Uncorrected,3,0.022871000000000002,0.020005,0.016577,0.032031
sinus,Uncorrected,2,0.0106305,0.0106305,0.009628,0.011633
how long flu,Uncorrected,1,0.018972,0.018972,0.018972,0.018972
flu how long,Uncorrected,1,0.018972,0.018972,0.018972,0.018972
bronchitis,Uncorrected,1,0.025429,0.025429,0.025429,0.025429
flu cold,Uncorrected,1,0.026639,0.026639,0.026639,0.026639
pneumonia,Uncorrected,1,0.036487,0.036487,0.036487,0.036487
