Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
flu contagious,Bonferroni,4,0.0006485,0.0006655000000000001,3.9e-05,0.001224
contagious flu,Bonferroni,4,0.0006485,0.0006655000000000001,3.9e-05,0.001224
fever flu,Bonferroni,1,0.001654,0.001654,0.001654,0.001654
flu fever,Bonferroni,1,0.001654,0.001654,0.001654,0.001654
fever flu,FDR,3,0.004687666666666666,0.003417,0.002851,0.007795
flu fever,FDR,3,0.004687666666666666,0.003417,0.002851,0.007795
flu cold,FDR,1,0.010955,0.010955,0.010955,0.010955
the flu symptoms,FDR,1,0.013267,0.013267,0.013267,0.013267
a influenza,Uncorrected,4,0.03104175,0.028376,0.019681,0.047734
influenza a,Uncorrected,4,0.03104175,0.028376,0.019681,0.047734
the flu symptoms,Uncorrected,3,0.02883233333333333,0.031279,0.019489,0.035729
flu cold,Uncorrected,2,0.034350000000000006,0.034350000000000006,0.033764,0.034936
how long flu,Uncorrected,2,0.0252265,0.0252265,0.021089,0.029364
flu how long,Uncorrected,2,0.0252265,0.0252265,0.021089,0.029364
how long does flu last,Uncorrected,2,0.031144,0.031144,0.02853,0.033758
symptoms of flu,Uncorrected,2,0.0397975,0.0397975,0.031776,0.047819
the flu,Uncorrected,1,0.02003,0.02003,0.02003,0.02003
flu virus,Uncorrected,1,0.026784,0.026784,0.026784,0.026784
