term,lag,pvalue,significant_raw,significant_fdr,significant_bonferroni
flu contagious,1,0.5034237511619303,False,False,False
contagious flu,1,0.5034237513246004,False,False,False
influenza a,1,0.934717819017623,False,False,False
flu symptoms,1,0.26877348453571737,False,False,False
flu a,1,0.10512060705867815,False,True,True
flu contagious,2,0.7633068558364091,False,False,False
contagious flu,2,0.7633068555860438,False,False,False
influenza a,2,0.16868468565740297,False,False,False
flu symptoms,2,0.7119118732308058,False,False,False
flu a,2,0.0025837712435198045,True,True,True
flu contagious,3,0.4610872948283803,False,False,False
contagious flu,3,0.46108729463139875,False,False,False
influenza a,3,0.6608858741686553,False,False,False
flu symptoms,3,0.0238560691790526,True,False,False
flu a,3,0.566443621790506,False,True,True
flu contagious,4,0.036671227562997726,True,False,False
contagious flu,4,0.036671227705590975,True,False,False
influenza a,4,0.014661122365320528,True,False,False
flu symptoms,4,0.7379552028895591,False,False,False
flu a,4,0.00013708903789698185,True,True,True
flu contagious,5,0.1452157284863862,False,False,False
contagious flu,5,0.14521572878152053,False,False,False
influenza a,5,0.8001204730996091,False,False,False
flu symptoms,5,0.40026877534341365,False,False,False
flu a,5,0.04809599264442257,True,True,True
