region,method,proportion,count,total,formatted
Missouri,RAW,1.0,20,20,1.000 (20/20)
Alaska,RAW,0.9,18,20,0.900 (18/20)
New Hampshire,RAW,0.9,18,20,0.900 (18/20)
US,RAW,1.0,20,20,1.000 (20/20)
Illinois,RAW,0.6,12,20,0.600 (12/20)
Virginia,RAW,1.0,20,20,1.000 (20/20)
Washington,RAW,0.95,19,20,0.950 (19/20)
Vermont,RAW,0.95,19,20,0.950 (19/20)
South Dakota,RAW,0.9,18,20,0.900 (18/20)
Georgia,RAW,1.0,20,20,1.000 (20/20)
Connecticut,RAW,0.85,17,20,0.850 (17/20)
Alabama,RAW,1.0,20,20,1.000 (20/20)
Oklahoma,RAW,0.9,18,20,0.900 (18/20)
Colorado,RAW,0.95,19,20,0.950 (19/20)
Ohio,RAW,0.95,19,20,0.950 (19/20)
Maine,RAW,0.85,17,20,0.850 (17/20)
Mississippi,RAW,0.95,19,20,0.950 (19/20)
Utah,RAW,0.8,16,20,0.800 (16/20)
South Carolina,RAW,1.0,20,20,1.000 (20/20)
Delaware,RAW,0.95,19,20,0.950 (19/20)
Indiana,RAW,0.95,19,20,0.950 (19/20)
Arkansas,RAW,0.95,19,20,0.950 (19/20)
Iowa,RAW,1.0,20,20,1.000 (20/20)
New Jersey,RAW,1.0,20,20,1.000 (20/20)
Wisconsin,RAW,0.85,17,20,0.850 (17/20)
Michigan,RAW,0.9,18,20,0.900 (18/20)
Arizona,RAW,0.85,17,20,0.850 (17/20)
Massachusetts,RAW,0.9,18,20,0.900 (18/20)
Montana,RAW,0.9,18,20,0.900 (18/20)
New York,RAW,0.95,19,20,0.950 (19/20)
Wyoming,RAW,0.9,18,20,0.900 (18/20)
Minnesota,RAW,0.85,17,20,0.850 (17/20)
West Virginia,RAW,0.95,19,20,0.950 (19/20)
North Dakota,RAW,0.95,19,20,0.950 (19/20)
Kentucky,RAW,0.95,19,20,0.950 (19/20)
Louisiana,RAW,1.0,20,20,1.000 (20/20)
Maryland,RAW,0.9,18,20,0.900 (18/20)
Texas,RAW,0.9,18,20,0.900 (18/20)
Hawaii,RAW,0.85,17,20,0.850 (17/20)
Rhode Island,RAW,0.95,19,20,0.950 (19/20)
Kansas,RAW,1.0,20,20,1.000 (20/20)
Pennsylvania,RAW,1.0,20,20,1.000 (20/20)
North Carolina,RAW,0.95,19,20,0.950 (19/20)
Nebraska,RAW,0.95,19,20,0.950 (19/20)
Tennessee,RAW,0.8,16,20,0.800 (16/20)
Idaho,RAW,0.85,17,20,0.850 (17/20)
Oregon,RAW,1.0,20,20,1.000 (20/20)
Nevada,RAW,1.0,20,20,1.000 (20/20)
California,RAW,1.0,20,20,1.000 (20/20)
New Mexico,RAW,0.95,19,20,0.950 (19/20)
Missouri,FDR,0.65,13,20,0.650 (13/20)
Alaska,FDR,0.8,16,20,0.800 (16/20)
New Hampshire,FDR,0.6,12,20,0.600 (12/20)
US,FDR,0.6,12,20,0.600 (12/20)
Illinois,FDR,0.0,0,20,0.000 (0/20)
Virginia,FDR,0.95,19,20,0.950 (19/20)
Washington,FDR,0.55,11,20,0.550 (11/20)
Vermont,FDR,0.35,7,20,0.350 (7/20)
South Dakota,FDR,0.7,14,20,0.700 (14/20)
Georgia,FDR,0.75,15,20,0.750 (15/20)
Connecticut,FDR,0.35,7,20,0.350 (7/20)
Alabama,FDR,0.9,18,20,0.900 (18/20)
Oklahoma,FDR,0.7,14,20,0.700 (14/20)
Colorado,FDR,0.45,9,20,0.450 (9/20)
Ohio,FDR,0.8,16,20,0.800 (16/20)
Maine,FDR,0.05,1,20,0.050 (1/20)
Mississippi,FDR,0.9,18,20,0.900 (18/20)
Utah,FDR,0.7,14,20,0.700 (14/20)
South Carolina,FDR,0.85,17,20,0.850 (17/20)
Delaware,FDR,0.2,4,20,0.200 (4/20)
Indiana,FDR,0.8,16,20,0.800 (16/20)
Arkansas,FDR,0.9,18,20,0.900 (18/20)
Iowa,FDR,0.8,16,20,0.800 (16/20)
New Jersey,FDR,0.8,16,20,0.800 (16/20)
Wisconsin,FDR,0.1,2,20,0.100 (2/20)
Michigan,FDR,0.2,4,20,0.200 (4/20)
Arizona,FDR,0.35,7,20,0.350 (7/20)
