,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20
Alabama,is flu contagious,the flu,flu type,flu test,flu symptoms,the flu symptoms,flu how long,how long flu,flu fever,fever flu,how long does flu last,flu a,contagious flu,flu contagious,rsv,symptoms of flu,flu virus,bronchitis,flu cold,pneumonia
Alaska,influenza a,a influenza,stomach flu,pneumonia,contagious flu,flu contagious,flu cold,fever flu,how long flu,symptoms of flu,flu fever,how long does flu last,flu a,sinus,rsv,the flu symptoms,the flu,flu symptoms,bronchitis,flu how long
Arizona,the flu,flu contagious,sinus,flu a,strep,cold,symptoms of flu,flu cold,flu how long,contagious flu,bronchitis,how long flu,flu symptoms,rsv,a influenza,influenza a,pneumonia,fever flu,flu fever,cold and flu
Arkansas,type a flu,flu type a,the flu symptoms,flu contagious,contagious flu,pneumonia,flu type,flu cold,flu symptoms,flu how long,how long flu,the flu,b flu,flu a,symptoms of flu,flu fever,fever flu,rsv,strep,oscillococcinum
California,stomach flu symptoms,how long does the flu last,symptoms of pneumonia,how long flu,robitussin,flu how long,stomach flu,how long contagious,pneumonia,flu fever,fever flu,sinus,flu cold,cold symptoms,flu contagious,contagious flu,rsv,bronchitis,walking pneumonia,flu symptoms
Colorado,a influenza,influenza a,strep,flu symptoms,flu cold,contagious flu,pneumonia,stomach flu,how long flu,cold,the flu symptoms,bronchitis,rsv,flu fever,flu contagious,symptoms of flu,flu how long,flu a,sinus,the flu
Connecticut,the flu symptoms,stomach flu,the flu,how long flu,flu how long,rsv,contagious flu,flu contagious,strep,a influenza,flu fever,fever flu,pneumonia,bronchitis,flu cold,sinus,flu symptoms,influenza a,symptoms of flu,flu a
Delaware,flu symptoms,flu a,symptoms of flu,the flu symptoms,pneumonia,sinus,rsv,flu fever,how long does flu last,how long flu,flu cold,flu how long,fever flu,contagious flu,flu contagious,the flu,a influenza,influenza a,stomach flu,bronchitis
Florida,,,,,,,,,,,,,,,,,,,,
Georgia,cold,flu type,is flu contagious,the flu,bronchitis,how long flu,flu contagious,contagious flu,flu virus,flu how long,flu cold,flu symptoms,pneumonia,flu fever,fever flu,how long does flu last,rsv,flu a,symptoms of flu,the flu symptoms
Hawaii,influenza a,contagious flu,flu a,a influenza,rsv,fever flu,flu symptoms,flu how long,stomach flu,pneumonia,flu contagious,bronchitis,how long flu,how long does flu last,flu fever,the flu,symptoms of flu,the flu symptoms,sinus,flu cold
Idaho,how long flu,flu how long,symptoms of flu,stomach flu,how long does flu last,rsv,bronchitis,influenza a,a influenza,fever flu,flu a,the flu symptoms,flu contagious,contagious flu,flu cold,pneumonia,sinus,flu symptoms,flu fever,the flu
Illinois,sinus,how long does flu last,rsv,pneumonia,flu contagious,how long flu,bronchitis,flu fever,influenza a,flu symptoms,stomach flu,strep throat,a influenza,the flu,how long does the flu last,cold,cold symptoms,flu cold,strep,flu how long
Indiana,flu type,influenza a,fever flu,flu fever,sinus,flu how long,how long flu,contagious flu,stomach flu,symptoms of flu,flu symptoms,rsv,strep,the flu,flu cold,pneumonia,a influenza,flu a,the flu symptoms,influenza symptoms
Iowa,influenza a,bronchitis,flu a,the flu,symptoms of influenza,influenza symptoms,a influenza,contagious flu,symptoms of flu,flu cold,flu symptoms,influenza b,flu how long,how long flu,influenza a symptoms,stomach flu,the flu symptoms,strep,rsv,pneumonia
Kansas,pneumonia,influenza a symptoms,contagious flu,influenza symptoms,rsv,bronchitis,flu contagious,a influenza,influenza a,symptoms of flu,flu how long,stomach flu,flu cold,sinus,influenza b,the flu,how long flu,flu a,strep,flu symptoms
Kentucky,b flu,flu fever,how long flu,the flu symptoms,pneumonia,flu symptoms,type a flu,symptoms of flu,symptoms of the flu,cold,flu type,fever flu,flu how long,rsv,the flu,flu contagious,contagious flu,flu cold,bronchitis,flu a
Louisiana,flu type,the flu symptoms,how long flu,rsv,flu cold,cold,contagious flu,fever flu,bronchitis,flu how long,oscillococcinum,flu a,flu symptoms,pneumonia,symptoms of flu,the flu,how long does the flu last,is flu contagious,flu contagious,flu fever
Maine,the flu,rsv,pneumonia,the flu symptoms,flu symptoms,symptoms of flu,flu fever,influenza a,a influenza,flu cold,contagious flu,stomach flu,how long does flu last,flu contagious,how long flu,flu how long,sinus,bronchitis,fever flu,flu a
Maryland,flu contagious,flu test,how long does the flu last,how long flu,flu symptoms,flu fever,symptoms of the flu,contagious flu,flu how long,symptoms of flu,the flu,influenza a,a influenza,stomach flu,fever flu,flu virus,flu a,flu cold,the flu symptoms,pneumonia
Massachusetts,the flu symptoms,the flu,symptoms of the flu,sinus,symptoms of flu,how long does flu last,cold,bronchitis,rsv,fever flu,flu fever,flu how long,how long flu,pneumonia,flu contagious,flu symptoms,contagious flu,strep,stomach flu,strep throat
Michigan,flu symptoms,the flu symptoms,influenza symptoms,strep,is flu contagious,a influenza,flu a,flu cold,stomach flu,flu fever,fever flu,flu contagious,rsv,symptoms of flu,the flu,bronchitis,how long flu,influenza a,flu how long,contagious flu
Minnesota,symptoms of influenza,influenza b,stomach flu,influenza a symptoms,a influenza,influenza a,the flu symptoms,how long contagious,flu how long,how long flu,influenza symptoms,rsv,influenza contagious,symptoms of flu,strep,pneumonia,the flu,flu symptoms,sinus,strep throat
Mississippi,cold,rsv,type a flu,influenza a,flu type,oscillococcinum,flu how long,flu type a,flu a,flu fever,fever flu,flu symptoms,how long flu,the flu symptoms,flu cold,flu contagious,contagious flu,symptoms of flu,pneumonia,the flu
Missouri,rsv,how long flu,influenza a symptoms,a influenza,influenza a,how long does flu last,flu a,cold,pneumonia,the flu symptoms,flu cold,contagious flu,influenza symptoms,flu how long,the flu,symptoms of flu,flu symptoms,sinus,stomach flu,bronchitis
Montana,influenza a,how long flu,flu how long,contagious flu,stomach flu,symptoms of flu,bronchitis,rsv,flu a,pneumonia,how long does flu last,the flu,fever flu,flu fever,flu contagious,a influenza,the flu symptoms,flu cold,flu symptoms,sinus
Nebraska,flu a,influenza a symptoms,flu cold,stomach flu,bronchitis,contagious flu,flu contagious,rsv,symptoms of flu,pneumonia,a influenza,the flu symptoms,influenza a,how long flu,flu how long,sinus,flu symptoms,influenza b,influenza symptoms,the flu
Nevada,cold,flu contagious,contagious flu,flu a,bronchitis,rsv,the flu symptoms,how long flu,the flu,fever flu,sinus,flu how long,pneumonia,flu symptoms,stomach flu,a influenza,influenza a,flu fever,flu cold,symptoms of flu
