,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20
Alabama,0.001802,0.002406,0.006250,0.011354,0.013540,0.030645,0.035968,0.035968,0.043343,0.043343,0.058377,0.090978,0.172248,0.172248,0.172497,0.248763,0.254577,0.294762,0.562646,0.577577
Alaska,0.002068,0.077127,0.077127,0.083617,0.092246,0.092246,0.097157,0.097750,0.133359,0.142056,0.154658,0.208805,0.217713,0.287692,0.331920,0.411586,0.501899,0.853080,1.000000,1.000000
Arizona,0.007544,0.011077,0.013132,0.039044,0.043352,0.047661,0.078210,0.160901,0.177795,0.224400,0.322892,0.357880,0.472172,0.514427,0.575865,0.575865,0.858258,1.000000,1.000000,1.000000
Arkansas,0.000010,0.000010,0.000016,0.006756,0.006756,0.015431,0.023429,0.027749,0.035794,0.037435,0.037435,0.050688,0.087391,0.150873,0.251873,0.282534,0.282534,0.314202,0.428835,1.000000
California,0.016797,0.025589,0.037796,0.122495,0.169473,0.173465,0.179060,0.194829,0.195631,0.218922,0.218922,0.328290,0.349631,0.491632,0.569868,0.569868,0.596391,0.693398,0.848837,0.859294
Colorado,0.004095,0.004095,0.035536,0.051908,0.058408,0.081068,0.092751,0.120663,0.129667,0.184392,0.192657,0.193754,0.235937,0.444180,0.614785,0.637379,0.664882,0.794470,0.820714,1.000000
Connecticut,0.004215,0.005173,0.031489,0.058087,0.058087,0.072312,0.087357,0.087357,0.242621,0.393365,0.450352,0.450352,0.500407,0.560474,0.858510,0.970868,0.975585,1.000000,1.000000,1.000000
Delaware,0.000050,0.020020,0.049917,0.081360,0.120861,0.193462,0.209172,0.212291,0.229999,0.380684,0.387764,0.488078,0.600555,0.703654,0.703654,0.816117,0.874134,0.874134,0.968131,1.000000
Florida,,,,,,,,,,,,,,,,,,,,
Georgia,0.000325,0.008534,0.014855,0.057156,0.061915,0.091894,0.130014,0.130014,0.152299,0.161315,0.208196,0.216142,0.270260,0.295122,0.295122,0.358216,0.364785,0.622778,0.665966,0.703179
Hawaii,0.000724,0.005038,0.051020,0.058117,0.065284,0.100025,0.120328,0.175785,0.235475,0.391468,0.442291,0.508401,0.525535,0.603198,0.663689,0.676776,0.860065,1.000000,1.000000,1.000000
Idaho,0.000276,0.000276,0.026155,0.049803,0.051242,0.135177,0.154182,0.199805,0.199805,0.321816,0.365050,0.391594,0.399421,0.399421,0.447111,0.579090,0.876130,1.000000,1.000000,1.000000
Illinois,0.122016,0.239830,0.248676,0.286489,0.314925,0.402519,0.432664,0.476949,0.507368,0.538066,0.670289,0.878311,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Indiana,0.007946,0.016745,0.041442,0.041442,0.042999,0.043416,0.043416,0.045461,0.059936,0.066411,0.092987,0.105402,0.108664,0.163774,0.246190,0.296559,0.356689,0.504178,0.713432,1.000000
Iowa,0.000039,0.000425,0.000450,0.001030,0.001146,0.001507,0.010154,0.017170,0.045700,0.072596,0.109880,0.112484,0.132342,0.132342,0.181013,0.213818,0.217221,0.229043,0.544918,0.762945
Kansas,0.002031,0.006195,0.013005,0.018926,0.028922,0.053941,0.063531,0.066503,0.066503,0.068089,0.074373,0.076871,0.091443,0.116119,0.165360,0.192092,0.263280,0.264358,0.465163,0.540790
Kentucky,0.002771,0.003888,0.007741,0.007796,0.008948,0.009855,0.013605,0.031035,0.045100,0.096779,0.100994,0.153544,0.195674,0.241225,0.265746,0.327867,0.327867,0.354578,0.913538,1.000000
Louisiana,0.026314,0.043668,0.057244,0.072926,0.084362,0.108151,0.108224,0.125252,0.137402,0.171165,0.203290,0.255324,0.265745,0.273645,0.346159,0.363463,0.478956,0.596693,0.946354,0.960900
Maine,0.001738,0.061411,0.102453,0.122768,0.182806,0.273871,0.368932,0.375881,0.375881,0.446078,0.480598,0.510236,0.528368,0.767714,0.811756,0.811756,0.901166,1.000000,1.000000,1.000000
Maryland,0.007928,0.070290,0.070785,0.088704,0.119952,0.136155,0.139028,0.144100,0.184473,0.206339,0.216678,0.322600,0.322600,0.487515,0.510827,0.787329,0.878654,0.987659,1.000000,1.000000
Massachusetts,0.000938,0.012217,0.076887,0.079039,0.099798,0.228992,0.286221,0.305266,0.307035,0.316652,0.316652,0.320266,0.320266,0.333946,0.345306,0.367799,0.676776,0.990823,1.000000,1.000000
Michigan,0.002726,0.007155,0.042746,0.047972,0.075020,0.116209,0.117994,0.146635,0.162530,0.165259,0.165259,0.273062,0.352811,0.474904,0.500486,0.693133,0.755204,0.963586,1.000000,1.000000
Minnesota,0.012928,0.022101,0.061240,0.068791,0.079254,0.079254,0.194661,0.244695,0.310481,0.310481,0.358719,0.389828,0.416830,0.563252,0.689953,0.729285,0.905907,1.000000,1.000000,1.000000
Mississippi,0.000042,0.000792,0.000832,0.001532,0.006882,0.008303,0.009705,0.032161,0.040708,0.046045,0.046045,0.047947,0.050722,0.079051,0.087528,0.100180,0.100180,0.116122,0.125423,1.000000
Missouri,0.000405,0.026935,0.030292,0.036349,0.036349,0.042348,0.044975,0.113627,0.123364,0.145978,0.148265,0.159381,0.162041,0.165549,0.222383,0.237171,0.341880,0.694385,0.754117,0.927130
Montana,0.000000,0.000000,0.000000,0.001610,0.001645,0.010804,0.032056,0.034649,0.039150,0.042799,0.043105,0.285583,0.362792,0.362792,0.533026,0.724557,0.762989,0.931325,1.000000,1.000000
Nebraska,0.000957,0.011708,0.032923,0.068377,0.079463,0.080709,0.080709,0.087230,0.113572,0.126182,0.128446,0.141603,0.146505,0.188961,0.188961,0.381235,0.480596,0.622697,0.824779,1.000000
Nevada,0.003413,0.011540,0.011540,0.017500,0.020943,0.053898,0.082673,0.108832,0.116863,0.143197,0.144178,0.145601,0.156263,0.173430,0.190764,0.234025,0.244078,0.403213,0.444692,0.493283
