,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20
Alabama,0.001802,0.002406,0.003125,0.011354,0.011989,0.011989,0.011989,0.014448,0.014448,0.029189,0.030326,0.030645,0.034442,0.040708,0.040708,0.043062,0.043062,0.049127,0.056265,0.076657
Alaska,0.002068,0.019550,0.019550,0.019550,0.019550,0.023676,0.025532,0.025532,0.025532,0.025532,0.025532,0.025532,0.025532,0.026672,0.033460,0.046921,0.093602,0.093630,0.093630,0.137195
Arizona,0.006566,0.006566,0.010838,0.010838,0.011077,0.039105,0.047661,0.064303,0.064303,0.080451,0.105202,0.105202,0.107631,0.112430,0.112430,0.115173,0.115173,0.128810,0.129344,0.144829
Arkansas,0.000005,0.000005,0.000016,0.002252,0.002252,0.006937,0.006978,0.012478,0.012478,0.012478,0.014389,0.014434,0.018859,0.028253,0.028253,0.035736,0.035736,0.049649,0.080962,0.128829
California,0.016797,0.025589,0.037796,0.041280,0.041280,0.041280,0.041280,0.041280,0.059639,0.059639,0.062344,0.062344,0.065210,0.096069,0.103753,0.103753,0.103753,0.103753,0.116544,0.182452
Colorado,0.002047,0.002047,0.011845,0.020286,0.020286,0.020286,0.020286,0.046098,0.047418,0.051908,0.063454,0.063454,0.063454,0.084823,0.084823,0.095247,0.098095,0.098974,0.111270,0.111705
Connecticut,0.002586,0.002586,0.029043,0.029043,0.029119,0.029119,0.029119,0.060655,0.064336,0.064336,0.064336,0.072312,0.093412,0.093412,0.099269,0.132377,0.132377,0.138695,0.153267,0.189010
Delaware,0.000050,0.020020,0.024958,0.040680,0.053073,0.053073,0.068155,0.068155,0.082939,0.082939,0.115145,0.115145,0.115145,0.115145,0.120861,0.138583,0.138583,0.151854,0.155616,0.190941
Florida,,,,,,,,,,,,,,,,,,,,
Georgia,0.000325,0.004267,0.004952,0.020638,0.020638,0.038712,0.038712,0.041639,0.043228,0.045598,0.045598,0.045598,0.045598,0.045598,0.045598,0.051930,0.077237,0.095807,0.119087,0.171726
Hawaii,0.000724,0.005038,0.021761,0.021761,0.030082,0.050012,0.050012,0.053297,0.071664,0.071664,0.073743,0.078294,0.078492,0.101150,0.105025,0.105025,0.121165,0.121165,0.122411,0.143177
Idaho,0.000138,0.000138,0.024901,0.024901,0.051242,0.064363,0.064363,0.083176,0.091263,0.091263,0.091263,0.097898,0.099855,0.099855,0.109516,0.124163,0.134259,0.159940,0.175260,0.175260
