,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20
Alabama,0.000090,0.000120,0.000313,0.000568,0.000677,0.001532,0.001798,0.001798,0.002167,0.002167,0.002919,0.004549,0.008612,0.008612,0.008625,0.012438,0.012729,0.014738,0.028132,0.028879
Alaska,0.000103,0.003856,0.003856,0.004181,0.004612,0.004612,0.004858,0.004887,0.006668,0.007103,0.007733,0.010440,0.010886,0.014385,0.016596,0.020579,0.025095,0.042654,0.062874,0.079586
Arizona,0.000377,0.000554,0.000657,0.001952,0.002168,0.002383,0.003911,0.008045,0.008890,0.011220,0.016145,0.017894,0.023609,0.025721,0.028793,0.028793,0.042913,0.053289,0.053289,0.079656
Arkansas,0.000000,0.000000,0.000001,0.000338,0.000338,0.000772,0.001171,0.001387,0.001790,0.001872,0.001872,0.002534,0.004370,0.007544,0.012594,0.014127,0.014127,0.015710,0.021442,0.058911
California,0.000840,0.001279,0.001890,0.006125,0.008474,0.008673,0.008953,0.009741,0.009782,0.010946,0.010946,0.016414,0.017482,0.024582,0.028493,0.028493,0.029820,0.034670,0.042442,0.042965
Colorado,0.000205,0.000205,0.001777,0.002595,0.002920,0.004053,0.004638,0.006033,0.006483,0.009220,0.009633,0.009688,0.011797,0.022209,0.030739,0.031869,0.033244,0.039724,0.041036,0.070139
Connecticut,0.000211,0.000259,0.001574,0.002904,0.002904,0.003616,0.004368,0.004368,0.012131,0.019668,0.022518,0.022518,0.025020,0.028024,0.042925,0.048543,0.048779,0.054512,0.090563,0.160659
Delaware,0.000003,0.001001,0.002496,0.004068,0.006043,0.009673,0.010459,0.010615,0.011500,0.019388,0.020036,0.025688,0.030028,0.035183,0.035183,0.042954,0.043707,0.043707,0.048407,0.101500
Florida,,,,,,,,,,,,,,,,,,,,
Georgia,0.000016,0.000427,0.000743,0.002858,0.003096,0.004595,0.006501,0.006501,0.007615,0.008066,0.010410,0.010807,0.013513,0.014756,0.014756,0.017911,0.018239,0.031139,0.033298,0.035159
Hawaii,0.000036,0.000252,0.002551,0.003059,0.003264,0.005264,0.006016,0.008789,0.012393,0.019573,0.022115,0.026277,0.026758,0.030160,0.033184,0.033839,0.043003,0.067936,0.083942,0.084816
Idaho,0.000014,0.000014,0.001308,0.002490,0.002562,0.006759,0.007709,0.009990,0.009990,0.016091,0.018253,0.019580,0.019971,0.019971,0.022356,0.028955,0.043806,0.060699,0.079649,0.080212
Illinois,0.006101,0.011991,0.012434,0.014324,0.015746,0.020126,0.021633,0.023847,0.025368,0.026903,0.033514,0.043916,0.054111,0.054868,0.063009,0.066130,0.072044,0.091444,0.104849,0.121787
Indiana,0.000397,0.000837,0.002072,0.002072,0.002150,0.002171,0.002171,0.002273,0.002997,0.003321,0.004649,0.005270,0.005433,0.008189,0.012310,0.014828,0.017834,0.025209,0.035672,0.053758
Iowa,0.000002,0.000021,0.000023,0.000051,0.000057,0.000075,0.000508,0.000859,0.002285,0.003630,0.005494,0.005624,0.006617,0.006617,0.009051,0.010691,0.010861,0.011452,0.027246,0.038147
Kansas,0.000102,0.000310,0.000650,0.000946,0.001446,0.002697,0.003177,0.003325,0.003325,0.003404,0.003719,0.003844,0.004572,0.005806,0.008268,0.009605,0.013164,0.013218,0.023258,0.027039
Kentucky,0.000139,0.000194,0.000387,0.000390,0.000447,0.000493,0.000680,0.001552,0.002255,0.004839,0.005050,0.007677,0.009784,0.012061,0.013287,0.016393,0.016393,0.017729,0.045677,0.073157
Louisiana,0.001316,0.002183,0.002862,0.003646,0.004218,0.005408,0.005411,0.006263,0.006870,0.008558,0.010165,0.012766,0.013287,0.013682,0.017308,0.018173,0.023948,0.029835,0.047318,0.048045
Maine,0.000087,0.003071,0.005123,0.006461,0.009140,0.013694,0.018447,0.018794,0.018794,0.022304,0.024030,0.025512,0.026418,0.038386,0.040588,0.040588,0.045058,0.052500,0.058951,0.108201
Maryland,0.000396,0.003515,0.003539,0.004435,0.005998,0.006808,0.006951,0.007205,0.009224,0.010317,0.010834,0.016130,0.016130,0.024376,0.025541,0.039366,0.043933,0.049383,0.050849,0.067050
Massachusetts,0.000047,0.000611,0.003844,0.003952,0.004990,0.011450,0.014311,0.015263,0.015352,0.015833,0.015833,0.016013,0.016013,0.016697,0.017265,0.018390,0.033839,0.049541,0.107271,0.147782
Michigan,0.000136,0.000358,0.002137,0.002399,0.003751,0.005810,0.005900,0.007332,0.008126,0.008263,0.008263,0.013653,0.017641,0.023745,0.025024,0.034657,0.037760,0.048179,0.051117,0.067295
Minnesota,0.000646,0.001105,0.003062,0.003440,0.003963,0.003963,0.009733,0.012235,0.015524,0.015524,0.017936,0.019491,0.020841,0.028163,0.034498,0.036464,0.045295,0.070094,0.084263,0.093027
Mississippi,0.000002,0.000040,0.000042,0.000077,0.000344,0.000415,0.000485,0.001608,0.002035,0.002302,0.002302,0.002397,0.002536,0.003953,0.004376,0.005009,0.005009,0.005806,0.006271,0.050103
Missouri,0.000020,0.001347,0.001515,0.001817,0.001817,0.002117,0.002249,0.005681,0.006168,0.007299,0.007413,0.007969,0.008102,0.008277,0.011119,0.011859,0.017094,0.034719,0.037706,0.046357
Montana,0.000000,0.000000,0.000000,0.000081,0.000087,0.000569,0.001603,0.001732,0.001957,0.002140,0.002155,0.015031,0.019094,0.019094,0.026651,0.038135,0.038149,0.046566,0.061523,0.088252
Nebraska,0.000048,0.000585,0.001646,0.003419,0.003973,0.004035,0.004035,0.004362,0.005679,0.006309,0.006422,0.007080,0.007325,0.009448,0.009448,0.019062,0.024030,0.031135,0.041239,0.052903
Nevada,0.000171,0.000577,0.000577,0.000875,0.001047,0.002695,0.004134,0.005442,0.005843,0.007160,0.007209,0.007280,0.007813,0.008672,0.009538,0.011701,0.012204,0.020161,0.022235,0.024664
New Hampshire,0.002539,0.004338,0.004360,0.004360,0.005639,0.005695,0.005695,0.006172,0.006172,0.008492,0.008492,0.008988,0.010138,0.015074,0.020834,0.022597,0.039508,0.040712,0.058141,0.120732
New Jersey,0.000462,0.001010,0.001448,0.001533,0.002690,0.002690,0.002764,0.003987,0.004173,0.004334,0.004491,0.004805,0.005847,0.006322,0.007134,0.009756,0.014289,0.014352,0.023361,0.027753
New Mexico,0.000067,0.000074,0.000196,0.000196,0.000599,0.000735,0.001452,0.001452,0.002474,0.005281,0.006181,0.006742,0.011983,0.014554,0.016695,0.016877,0.017982,0.022952,0.040396,0.063330
New York,0.000201,0.000397,0.000541,0.001085,0.003464,0.003464,0.004535,0.005333,0.005333,0.007434,0.007802,0.008952,0.009708,0.015798,0.019021,0.021356,0.025325,0.033204,0.035096,0.161148
North Carolina,0.000224,0.000534,0.000737,0.000889,0.001652,0.001992,0.002565,0.003901,0.003999,0.004904,0.005768,0.006243,0.007044,0.007492,0.008465,0.009774,0.012056,0.018879,0.029640,0.070933
